book_id,review_content
146263,"“On stage, [the character of] Augusta Mountchessin"
24780,I really liked this book but I liked it even more 
33984056,I'm not going to write a detailed review. I found 
556136,Audiobook rating:★★★★★Book rating:★★★★★“J U S T   
7046495,This book could have easily broken my heart. I've 
112525,Houses above looked caught on the scraggly hillsid
12468,"“Now, the doctor was beside him, pinning a white c"
2574,"OK, this book gets down-graded because it is an ex"
748989,"First published in 1964, this is the first Chief I"
22402972,Audiobook… Read by Kathleen McInerney.“Living in a
16173867,"Ordinary, not so special."
67141,i fear i may have started yet another book collect
16234584,”The solar disc was no longer a well-defined spher
14257,The narration ofEnglish Passengersis situated on t
102030,wow...that is the first thing that came to mind wh
3722134,This memoir lives up to its billing. The voice is 
249,I feel like I have been reading this for a thousan
106835,Warren Buffett's pick as the greatest investment b
604094,This is a raw outpouring of journalism and persona
26474,"""There is something strangely determinate and fata"
113946,"THE GRINCHGOT A WONDERFUL, AWFUL IDEA!This was jus"
13121935,Joseph Conradwas the one who stood at the fountain
1733991,A book that is almost impossible to categorize. 99
24830,“And I think it's gonna be a long long time'Till t
544424,(4 Stars)Loved this! Can't wait for the second boo
11290708,I first encountered Karl Marlantes while watching 
56397497,A testament to the power of determination and the 
823411,I found Three Day Road when a notoriously late fri
3412,I would give this all the stars in the sky if I co
596304,"As I write this, the LDS church is closing its 181"
252499,The Queen's Fool is the 12th book in Philippa Greg
19547856,in honor of me seeing the movie early and then see
3038079,"Although I had a number of gripes about this book,"
34508,INTERESTING TIMES by Terry Pratchett has got to be
16433,I’m getting well into Odd Thomas.He’s a cute chara
95186,I'm not going to say that this novel is bad(Chorus
63241104,4.25! Beautiful writing. Meryl Streep narrating th
183658,2020 Re-ReadGave it 4 stars in 2010. Would bump it
4606874,This is me--a huge Tim Burton fan (or so I thought
14335,"Honestly, if Carl R. Sams II and Jean Stoick had m"
58990727,I now need a cat like Mischief lolI loved everythi
4172194,Laura Benedict is a new to me author. Her new book
526764,This delightful tale is the story of a young girl 
10204213,I received this book as part of the Amazon Vine Pr
1795615,The Kiss-Kiss Fish needs to have a refresher cours
111066,Some of these stories were brilliant. Others... we
22889767,This is such a wonderful and inspiring book. Gretc
15818107,"""In my nightmares I am alone on a train, heading i"
6457229,Before getting into any substantive thoughts on th
1541765,It's hard to say anything about this magnificent b
58341222,"buddy read with""who is Scotty?""and""why does she ju"
205404157,Seeing this pop up over and over on my feed and mo
1662589,"Very imaginative, and the climactic scenes are sna"
407813,Added at the bottom: the perfect song for this boo
71865,Finished it a few days ago! Definitely one of my f
3437316,High 3.5 stars_The January Dancer_ is a very good 
421007,"Thurman's Leandros series tends to be very dark, b"
1152447,As someone who loves both travel and observing and
2059753,What would you do if your entire family was gone -
1842,Author Jared Diamond's two-part thesis is: 1) the 
13644055,After Reading: Review to come!!OMG!! If has a cove
20312462,This was a very quick read for me. I listened to t
71863,Plot summary: Following the tragic end ofThe Dead 
13747,Completely and utterly disappointing.I wassoin lov
6435893,SPOILERSBarbara is a pretty headstrong young high 
13256064,5.0 stars — I just finished reading my 7th Jo Nesb
61767292,Update: I just read the bonus chapters and ugh I’m
558658,"I'm actually reading the UK Kindle edition, which "
16096514,This review may contain SPOILERS-mature content re
6777616,"Flavia returns! Oh, delicious young poisoner Flavi"
22328546,Reviewed by:Rabid ReadsThis book didn't start out 
3599893,Jesus Christ has come back and he is running for P
17377032,♥ 5 STARS. ♥OH.MY.GOD.I absolutelyLOVEDthis book! 
351461,"Two lines to demonstrate why I love this book:""Out"
143555,1st time reading: 4 stars.2nd time reading: rating
55921885,Thirteen for Dinner by Kathleen Lopez is a great m
28246,"SPOILER FREEThe plot in Last of the Wilds, the sec"
13596166,“Joyland” by Stephen King is an underrated gem tha
62794,A book can be a doorway into another human heart -
15994590,The truth is that when I started reading this I ex
162086,"“Rape is not a mistake! He did it on purpose, over"
18003300,"Back when I was with my gamer ex-boyfriend, we wou"
7912007,"Full Dark, No Starsis a dark, harrowing Horror col"
51931067,***read for YA lit course***i’m really thrilled i 
18163202,I didn't finish this book. It's a re-telling of th
17802724,Cecilia Fitzpatrick thinks she knows her husband i
9897164,HOLY DAIMON BABIES. Jennifer has done it again!Apo
509048,The last of the Kent chronicles series. LOVED THEM
23305614,THIS WAS SUCH A GOOD BOOK. I appreciated the fact 
4918991,I enjoyed these. The stories are tied together by 
58275819,The book is like a helpful guide that talks about 
750407,I am going to start off by rating this book five s
16322,Agatha Christie is such a crafty devil that midway
30038855,"Here is mySpotify Playlist!""I don’t know what the "
84352,"Lin Yutang, Rumi, Martin Buber, Lao T'se, Jesus, B"
608287,In the psychedelic world everything is surreal… Ev
93372,"Here is a photo I took on the street of Shibuya, 2"
7150174,REVIEW“This 5 star review you must write.” That wo
31374,"UPDATE 2/1/17 ...I found ""A Great Deliverance"" as "
647579,While there are numerous beings who decide a upon 
16037338,"Alright, this series is an OCD nightmare. First of"
4981,There are some terrible reviews of SH5 floating ar
356321,I'm not planning to add children's books to my pag
27668,"Five stars might be a hair too much, but it was pr"
22435,Let's start with the positives:Greene does an exce
1039041,I saw this book on Amazon during a random browsing
62795,What does it take to be a great author? Does one h
7728889,"There is love. Oh, there is so much love that I am"
8811134,ok so originally I had a freak out review bc I had
13,"Just as funny as advertised, but I made the mistak"
634757,Hatter’s Castleis written in the melodramatic styl
568093,I didn't HAVE to read this one the way I did the f
3692,"Very strong, Very Greene. The comic touch always l"
3758,Some interesting facts that we learn in this book:
6001011,A friend in the media sent me an advance reader co
17158532,”To gain everything and lose everything in the spa
11381643,"This book totally rocked my world! 🚀First off, can"
760205,Reading this seems to spark a memory. I think I re
2939773,"Having read the book a while back, I sort of knew "
210831,Nat Turner is a name unlikely to stir the imaginat
8913370,"This novel, for me all pastiche, pasteboard and mi"
139569,In a lesbian's life there's a before reading Stone
3412,It’s a rough job reading a novel that tears your h
3009435,This is a devastating look not only at the slave e
56083,"if john steinbeck has 1,000 fans i'm one of them. "
5460711,"Tucked away on a wilderness retreat for a weekend,"
59829,I love this book. It was the first Nora Roberts no
10836813,Wow. I devoured this book. It pretty much hit all 
368405,Set in the sixties in Polish People's Republic and
7933437,"I'm not sure how to rate this one. Therefore, I st"
300944,"I loved this book. Of course, I am passionately in"
19288043,AMY DUNNEI am Amy. I’m so perfect you may want to 
162332,I had a slightly different review in mind until I 
12926063,Since readingTrainspottingaround the time it came 
1586764,I have been promising myself a re-read of this ser
263145,"Who needs Yuki?Okay, so I watch plenty of anime, b"
7126,I am utterly speechless…
7056307,Kate Grenville was inspired by the life of William
3103,"E.M. Forster (Howards End,A Room With A View) fini"
77368,"Final review, first posted onFantasy Literature:Sp"
227751,What makes this story stand out is its narrator. Y
6582637,⋰⋱⋰⋱⋰⋱*This Book Is So ‘Meh’*⋰⋱⋰⋱⋰⋱Third re-read: 
15760001,“Gentlemen are gentlemen in bed. They make sure yo
61179,"A very interesting concept....BUT, I have to get o"
19577,"If you’ve thought about reading Koko, then Be Like"
4991,This book was the first book club reading for a bo
27276428,I listened to the BBC abridged audio book as I oft
2281814,"Whew...OK. I just finished ""The Iron Hunt"" by Marj"
2767793,no mistborn spoilers buti am a changed person
47989,"History has gone Rogue, but Samuel Vimes is in hot"
1556093,"This is M. R. James first book of ghost stories, c"
4955,"Ah, another Dave Eggers book. I keep reading these"
541024,SF Masterworks 28- although first published in 195
2227371,"In Joanne Harris’s follow-up toChocolat, Vianne an"
22327,I think I must have read this play back in middle 
52445828,Politics has always been the dirtiest game that ev
15778138,WARNING: This was a FAIRLY ADULT book so its only 
25584847,Henry James once said novels deal with the “palpab
910863,This is one of those rare science fiction books th
65684,I remember reading this many moons ago and I still
61718053,"Buckle up, bitches, because I have some things to "
58100280,"keeping everything aside, ppl in their 30s acting "
50930,"Another reviewer of this book asked ""Should Christ"
18943009,5+ OHMYGODMYHEARTHURTS starsWe were introduced to 
40409102,The only reason I finished this is because I think
59478,This was offputting to me. I read about a hundred 
2006672,"If you are a Sandra Hill fan, you will like this b"
779113,Northrop Frye! I find my way to his statue down by
12842,This is the third volume of the trilogy including 
632901,One of my favorite poems by Bukowski in this volum
338018,"Working with Zoe Trope, publishing her chapbook ve"
2544359,Actual rating 3.5/5 stars.Tally Hamilton was very 
1053593,Lame-mon more like. This weird alternative univers
31371230,"“You know what they say about hindsight, Adrian.” "
106585,"""...the Old Testament gives us many instances of Y"
36280154,I guess I have changed.I have my little paperback 
102327,"This is a fascinating novel. It is, for the most p"
325128,"You are seventeen Mr. David Balfour, alone in the "
15209,Tom Wolfe is a genius writer in the pantheon of He
29420265,An Epic Adventure that will make it hard to pause 
440121,Continuing my project of reading this entire belov
549379,"Having seen the film adaptation, albeit a while ag"
29100287,This is fab cookbook. The recipes in this book are
16331,"In 2022, William Morrow released new editions for "
939740,This was a more entertaining book than the first o
9462812,I don't really have strong feelings about this boo
691001,"My mother told me this joke, one of those internet"
17994,"A journey through the history of coding, cryptogra"
24767,Changing this one to a four because I don't think 
2488137,"The ""Hopey Glass"" compilation is actually a combin"
509784,I've always felt that Isaac Asimov writes brillian
8127,How do you review a book that transcends books?htt
137763,"Why have only about 1,200 people added this one?Fo"
77810,"""the gripping story of a woman's descent into empt"
633484,OUR HUMANITY PUT TO THE TESTThe description of the
2164457,"This was my first Ben Elton, and I'll definitely b"
9439303,And what a life Keith Richards has had!It’s really
80064,"I wanted to love this first novel of Ondaatje, but"
13256064,Phantomis my third exposure to Harry Hole (afterTh
1469910,Steel just goes on and on about India wanting to p
397860,"[image error]""Why had everything changed? What was"
6687,"As we last seen the mighty, marvelous, wizard , Wi"
16056408,I. Love. Goodreads!If it were not for this amazing
270208,An ordinary woman with an ordinary life sounds dul
135146,Once again Sanaya has written an incredible book t
257321,This book really is the culmination of all the pre
9680114,Pure was a nice surprise and a great break from th
2052364,"This, along with the Tale of Three Kings are must "
37814690,A beautiful and well written novel with a well rea
43758,Of all of the vampire chronicles this is by far my
24920901,3.5 ok ok ok ok i get it now. this ain’t no litera
10155,Can we start with how this book (written in 1912) 
44559,“You think that just because it's already happened
41721428,SummaryThis is a memoir that shows us the real imp
755300,"The beginning of this book was a let down, compare"
1158967,Looking for something that will remind you of Prac
1496,"Agamemnon: I'm so sad.Old Man: Yo, what's up?Agame"
15842441,"4th Re-read!!! :)THIS BOOK STILL BLOWS ME AWAY!!!"""
85306,I like Baldacci's writing quite a bit. He's one of
6702002,This was my first book by this author but will not
2418750,What a delightfully indulgent read that whetted ev
420180,Some people may have seen the film loosely based o
2045458,Disappointing.I had high expectations of this book
202769,Book as arabesque.Short story leads to short story
44285784,"Oh, a disappointment.I am both neurodivergent (ADH"
90475,You can check out more reviews by me on my blog:I 
563458,I almost never write reviews on here. I simply rea
44525305,"I’m a huge admirer of Disney as an organization, a"
30512,Paddy Clarke is a ten-year-old boy living in Barry
123166,"This was lovely, providing fascinating background "
539519,The Werewolf of Parisis an interesting book. Part 
321577,”She thought of all the people in all the painting
89848,Please note that the above star rating is less ind
35356382,"2 1/2 stars. This book was okay, but maybe it was "
12194,Lord Jimis an incredibly frustrating book. It's pa
16047244,ROCKING AWESOME FAN-FREAKING-TASTIC READ!!!!Okay l
15843166,Did I just get tricked into reading a rip-off of T
63843191,"Another Great SeriesOnce again, Scott Cook has sta"
16328,Even among Agatha Christie's amazing murder myster
53764,This is a difficult book to review. I had heard th
303460,"I'm short on time again today, so, this will be qu"
7723,I’ll never forget that winter night at Christmas b
79679,"Thoughts, so many thoughts.1. Neil Postman is my f"
11404488,Read it many years ago and liked it although not n
792161,"“I can hate you more, but I'll never love you less"
51481198,I don't even know what to make of this series anym
1672092,This book lies close to my heart. The marriage of 
59314692,I feel like I sat on a bench and a narcissistic ta
14686,a tale out of time: an old myth reinvented; a new 
22500587,Thoroughly enjoyable. From the moment you get star
52878,"Sherman Alexie is a self-important, whiny alarmist"
80950,A solid satire by H G Wells: ordinary man Kipps in
11650,It is getting exceedingly rare to find books that 
49488,"This is the first David Liss I've read, and I have"
407282,8/10This book was so powerful. I have a huge weak 
144773,When Doctor Stephen Swain and his daughter Holly w
5749299,I approached this book with some skepticism. By th
13623848,"1.5 stars.Aw man, where do I start with this one?I"
9553503,"“I love Alex.”“Oh my God, Seb though.”“Seb is my b"
1294356,"(Review - now it's finished)!""Freedom is not a hap"
6574102,Listen to my Heist Society fanmix in8tracksand see
85735,What a long book!While this one took me a while to
122756,"I wish it was possible to give less than one star,"
16967,I've never been much interested in these alternate
17553217,Mon Dieu !What the hell did I just read ?! :/From 
7967,While Ender's Game is a solid piece of modern sci 
13537640,"ETA: Second read finished, just in time for book e"
28919058,4 Stars! A really remarkable read that lives up to
420966,Better Late Than NeverScatological sarcasm is a Sh
6080897,Just an amazing book. It's huge!
95950,"I use the term ""finished"" in a different context w"
420224,I have to admit I'm a sucker for a series. Especia
15711341,4.5 starsIt takes a lot to interest me in starting
36697343,“A kiss is a secret which takes the lips for the e
291440,I can't believe I liked these books when I was you
